coagulant,round,date,sample,dm_real,dm_expected,dose,volume,ntu,efficiency,removal,supernatant_ph,supernatant_ec,subnatant_proportion,subnatant_perc_dm,subnatant_ph,subnatant_ec,subnatant_gr_dm,dm_to_subnatant,ph_inisup,ph_inisub,ec_inisub,ec_inisup,turb_ini,effluent,subnatant_gr_dm_1000,dose_mg,dm_si,water_ml,supernatant,subnatant,vol_input_corrected,dm_input_corrected,treatment,dm_realgl
tanfloc,4,31/05/2022,6,0.011,0.01,3477.03,14,5.08,0.9961,1298.92,6.27,3270,0.142378229,0.101540217,6.32,1136,11.72992584,1.013433426,7,7.21,669,1816,1304,800.54,14.65251685,2783.501596,NA,0,695.56,115.52,811.08,11.57444144,tanfloc,11
tanfloc,4,30/05/2022,1,0.006,0.005,0,0,705.7,0,0,NA,1003,0.028468513,0.0875513,7.27,421,2.006675787,0.438796692,6.76,7.27,421,1003,705.7,800.38,2.507153836,0,0.417858973,8,778.9,22.92,801.82,4.573133354,control,6
tanfloc,4,30/05/2022,2,0.006,0.005,248.26,1,177.6,0.7483,528.1,6.98,1174,0.068181818,0.087636933,7.2,473,4.813896714,1.008197707,6.76,7.27,421,1003,705.7,800.87,6.01083411,198.8239862,0.962001279,7,748.19,54.93,803.12,4.774754675,tanfloc,6
tanfloc,4,30/05/2022,3,0.006,0.005,496.48,2,47.49,0.9327,658.21,6.95,1313,0.076580433,0.077205882,7.12,495,4.765147059,0.958037656,6.76,7.27,421,1003,705.7,800.92,5.949591793,397.6407616,0.915817765,6,743.15,61.72,804.87,4.973861967,tanfloc,6
tanfloc,4,30/05/2022,4,0.006,0.005,745.35,3,13.01,0.9816,692.69,6.82,1439,0.073802572,0.090248963,7.02,497,5.360788382,1.03713259,6.76,7.27,421,1003,705.7,800.25,6.698892074,596.4663375,0.9931126,5,745.12,59.4,804.52,5.168855393,tanfloc,6
tanfloc,4,30/05/2022,5,0.006,0.005,993.43,4,2.35,0.9967,703.35,6.71,1568,0.075839276,0.088145897,6.89,574,5.380425532,1.00205506,6.76,7.27,421,1003,705.7,800.55,6.720911288,795.2903865,0.961032181,4,743.66,61.04,804.7,5.36939111,tanfloc,6
tanfloc,4,30/05/2022,6,0.006,0.005,1987.84,8,6.99,0.9901,698.71,6.22,2030,0.08608029,0.082013048,6.34,758,5.681863933,0.922022468,6.76,7.27,421,1003,705.7,800.15,7.100998479,1590.570176,0.888976053,0,735.31,69.28,804.59,6.162392056,tanfloc,6
tanfloc,2,27/05/2021,1,0.029,0.03,0,0,4772.5,0,0,6.55,3470,0.15043356,0.127916667,7.09,1273,16.42194167,0.710098632,6.55,7.09,1273,3470,4772.5,800.27,20.52050142,0,0.707603497,60,723.72,128.38,852.1,23.12628264,control,29
tanfloc,2,27/05/2021,2,0.029,0.03,1874.95,6,2770.5,0.4195,2002,6.38,4020,0.182494494,0.133064516,7.02,1557,20.72745968,0.841927404,6.55,7.09,1273,3470,4772.5,800.02,25.90867688,1499.997499,0.839148788,54,696.04,155.77,851.81,24.61905812,tanfloc,29
tanfloc,2,27/05/2021,3,0.029,0.03,3748.45,12,731,0.8468,4041.5,6.41,5040,0.215791446,0.116300794,6.85,1759,21.42958431,0.820176468,6.55,7.09,1273,3470,4772.5,800.33,26.77593531,2999.996989,0.817624508,48,667.29,184.26,851.55,26.12801653,tanfloc,29
